winner_ht,loser_ht,winner_age,loser_age,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player1_avg_aces,player2_avg_aces,player1_avg_1stIn,player2_avg_1stIn,player1_avg_1stWon,player2_avg_1stWon,player1_avg_2ndWon,player2_avg_2ndWon
1.2222976354077075,1.4150657701294307,-0.3419403858808248,-0.03628073856035971,-0.5681453704982542,-0.5396715075940697,0.9007606107160252,1.0762027754535233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06476749561248944,-0.24646299819410983,-0.3879122000294136,-1.381288468183998,-0.4820129852024485,-0.5011647634251034,0.15748127133043505,0.6442556734088459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2222976354077075,1.4150657701294307,-0.3419403858808248,-0.24145140918091446,-0.5681453704982542,-0.5726772883103265,0.9007606107160252,1.5250889795391682,15.0,0.0,52.0,0.0,45.0,0.0,16.0,0.0
0.06476749561248944,-0.548559137889299,-0.3879122000294136,-0.6745894916020867,-0.4820129852024485,0.7200491230763993,0.15748127133043505,-0.7489854694607505,3.0,0.0,19.0,0.0,15.0,0.0,3.0,0.0
0.7882238329845007,1.4150657701294307,-0.5258276424751775,-0.03628073856035971,-0.611211563146157,-0.5396715075940697,2.104818285956889,1.0762027754535233,0.0,7.0,0.0,62.0,0.0,47.0,0.0,15.0
-0.36930630681071736,1.4150657701294307,-1.3303343900754703,-1.95120699768554,-0.4475600310841263,3.7895867296882844,0.08342761021083749,-0.9158356245642828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7882238329845007,0.20668121134867398,-0.5258276424751775,-0.17306118564072925,-0.611211563146157,-0.48466187306697495,2.104818285956889,0.49180375504013624,9.0,0.0,52.0,0.0,43.0,0.0,28.0,0.0
1.2222976354077075,1.4150657701294307,-0.4108981071037072,-1.95120699768554,0.5946418309951217,3.7895867296882844,-0.7306141164668125,-0.9158356245642828,0.0,2.0,0.0,26.0,0.0,15.0,0.0,5.0
1.2222976354077075,1.4150657701294307,0.02583412730787992,-0.24145140918091446,-0.5078527007911902,-0.5726772883103265,0.3631858855515393,1.5250889795391682,0.0,17.0,0.0,62.0,0.0,51.0,0.0,7.0
-0.36930630681071736,-1.001703347432083,-1.3303343900754703,-0.9025569034027034,-0.4475600310841263,0.8025635748670414,0.08342761021083749,-0.7625367510935247,2.0,0.0,25.0,0.0,18.0,0.0,12.0,0.0
0.06476749561248944,1.4150657701294307,0.1637495697536447,-0.401028597441346,-0.5250791778503513,-0.5781782517630359,0.40158408020614544,1.9062187754609425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06476749561248944,-1.7569436966700558,-0.3879122000294136,1.3087269910632795,-0.4820129852024485,-0.4791609096142655,0.15748127133043505,0.40710824483529756,4.0,0.0,28.0,0.0,23.0,0.0,7.0,0.0
0.7882238329845007,-1.001703347432083,-0.5258276424751775,1.171946543982909,-0.611211563146157,-0.3361358598438192,2.104818285956889,-0.19846465312929906,14.5,0.0,56.0,0.0,44.0,0.0,24.0,0.0
1.2222976354077075,-0.24646299819410983,-1.9049820669328221,-0.7657764563223332,6.270766021988712,0.08193736256210064,-0.9269934548432268,-0.5668901225203473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7882238329845007,0.6598254208914578,-0.5258276424751775,1.0807595792626628,-0.611211563146157,-0.473659946161556,2.104818285956889,0.3012388570792492,13.666666666666666,0.0,50.333333333333336,0.0,38.333333333333336,0.0,20.0,0.0
-0.6586888417595219,0.961921560586647,0.6464536183138199,-0.0818742209204829,1.042530234533311,2.1558005842335715,-0.7849201346211842,-0.8760287347680086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4988412980356962,-1.001703347432083,1.1521435739482901,1.171946543982909,-0.40449383843622344,-0.3361358598438192,-0.13873337314795514,-0.19846465312929906,0.0,2.0,0.0,33.0,0.0,22.0,0.0,4.0
-0.6586888417595219,-0.24646299819410983,0.6464536183138199,-0.7657764563223332,1.042530234533311,0.08193736256210064,-0.7849201346211842,-0.5668901225203473,2.0,1.0,20.0,52.0,18.0,33.0,11.0,16.0
1.2222976354077075,-0.548559137889299,-0.18103903636076646,2.4713607912464255,-0.5595321319686736,0.1864556681635806,0.6539150736507,-0.6160135184391539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2222976354077075,-1.001703347432083,-0.02013768684070807,-0.9025569034027034,-0.16332315960796773,0.8025635748670414,-0.4908996726944857,-0.7625367510935247,0.0,1.0,0.0,28.0,0.0,12.0,0.0,5.0
1.2222976354077075,1.4150657701294307,-0.18103903636076646,-0.30984163272109966,-0.5595321319686736,-0.42415127508717076,0.6539150736507,0.021743673403281524,11.0,0.0,32.0,0.0,25.0,0.0,23.0,0.0
-1.81621898155474,-1.001703347432083,-1.077489412258236,-0.9025569034027034,0.5774153539359607,0.8025635748670414,-0.7273228426392749,-0.7625367510935247,0.0,0.5,0.0,31.0,0.0,16.0,0.0,5.0
-0.6586888417595219,1.4150657701294307,2.5542839054802293,-0.30984163272109966,0.629094785113444,-0.42415127508717076,-0.7328082990185043,0.021743673403281524,0.0,15.0,0.0,62.0,0.0,50.0,0.0,23.0
1.2222976354077075,-1.7569436966700558,-0.02013768684070807,-1.1305243152033202,-0.16332315960796773,0.15344988744732377,-0.4908996726944857,-0.6075439674186699,3.0,0.0,31.0,0.0,27.0,0.0,11.0,0.0
