player1_avg_aces,player2_avg_aces,player1_avg_1stIn,player2_avg_1stIn,player1_avg_1stWon,player2_avg_1stWon,player1_avg_2ndWon,player2_avg_2ndWon,player1_ht,player2_ht,player1_age,player2_age,player1_rank,player2_rank,player1_rank_points,player2_rank_points,winner,surface_Clay,surface_Grass,surface_Hard,surface_nan,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,best_of_3,best_of_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266120216125222,1.3633804744676117,-0.01736504364922263,-0.3630945339909247,-0.49946580386754436,-0.5719453863948352,0.6161063184631853,1.2450035444781116,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11451805843229115,-0.2996692838301934,-0.42493550917692,-1.3575954805924924,-0.48078045277969894,-0.4764076127991239,0.3773580964722401,0.290815117387697,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266120216125222,1.3633804744676117,-0.3796499018960641,-0.20119903105578596,-0.5430649564058504,-0.5651212597094272,1.2400350052661888,0.9568258315984561,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.0,19.0,0.0,15.0,0.0,3.0,0.0,0.11451805843229115,-0.6020419671570671,-0.42493550917692,-0.6406296818797349,-0.48078045277969894,1.0385485113614397,0.3773580964722401,-0.762634521916821,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,0.0,52.0,0.0,45.0,0.0,16.0,0.0,1.266120216125222,0.9098214494773013,-0.01736504364922263,-0.5481179659167978,-0.49946580386754436,-0.6060660198218748,0.6161063184631853,2.6506703884133196,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,12.0,0.0,8.0,0.0,3.0,1.266120216125222,-0.2996692838301934,-1.9193605494451427,-1.3575954805924924,4.402324631510574,-0.4764076127991239,-0.8813225298640229,0.290815117387697,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,9.0,0.0,58.0,0.0,48.0,0.0,18.0,0.11451805843229115,0.9098214494773013,-0.1532218654917879,-0.5481179659167978,-0.43718130024139296,-0.6060660198218748,0.17680958999984617,2.6506703884133196,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266120216125222,1.3633804744676117,-0.44757831281734717,-1.9357937053608456,0.297775842547194,4.846411201819072,-0.6533975606033339,-0.888792320666359,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,17.0,52.0,62.0,44.0,51.0,22.0,7.0,1.266120216125222,1.3633804744676117,-0.01736504364922263,-0.20119903105578596,-0.49946580386754436,-0.5651212597094272,0.6161063184631853,0.9568258315984561,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31733275070255795,-1.0556009921473777,-1.353290458434452,-0.8719089717870762,-0.45586665132923837,1.1409104116425588,0.29140873655549987,-0.7728808405969866,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
