tourney_date,surface,winner_id,loser_id,w_ace,l_ace,winner_rank,loser_rank,tourney_name,winner_ht,loser_ht,winner_hand,loser_hand
2023-01-02,Hard,106415,200615,2.0,27.0,36.0,120.0,Adelaide 1,170.0,196.0,L,R
2023-01-02,Hard,104925,111460,10.0,11.0,5.0,64.0,Adelaide 1,188.0,191.0,R,R
2023-01-02,Hard,133430,126128,7.0,3.0,18.0,88.0,Adelaide 1,185.0,185.0,L,R
2023-01-02,Hard,106421,200175,7.0,0.0,7.0,29.0,Adelaide 1,198.0,183.0,R,R
2023-01-02,Hard,111575,207733,7.0,6.0,20.0,42.0,Adelaide 1,198.0,193.0,R,L
2023-01-02,Hard,206173,106423,5.0,9.0,15.0,93.0,Adelaide 1,191.0,193.0,R,R
2023-01-02,Hard,200624,105138,12.0,5.0,33.0,21.0,Adelaide 1,196.0,183.0,R,R
2023-01-02,Hard,106415,111456,0.0,3.0,36.0,63.0,Adelaide 1,170.0,178.0,L,R
2023-01-02,Hard,200615,106218,16.0,4.0,120.0,61.0,Adelaide 1,196.0,180.0,R,R
2023-01-02,Hard,104925,106005,4.0,3.0,5.0,65.0,Adelaide 1,188.0,180.0,R,R
2023-01-02,Hard,111460,111442,14.0,5.0,64.0,84.0,Adelaide 1,191.0,183.0,R,R
2023-01-02,Hard,126128,144707,4.0,2.0,88.0,69.0,Adelaide 1,185.0,183.0,R,R
2023-01-02,Hard,133430,208014,7.0,2.0,18.0,164.0,Adelaide 1,185.0,178.0,L,R
2023-01-02,Hard,106421,132283,5.0,1.0,7.0,45.0,Adelaide 1,198.0,191.0,R,R
2023-01-02,Hard,200175,106331,4.0,9.0,29.0,78.0,Adelaide 1,183.0,183.0,R,R
2023-01-02,Hard,207733,126952,8.0,2.0,42.0,83.0,Adelaide 1,193.0,180.0,L,R
2023-01-02,Hard,111575,106398,6.0,3.0,20.0,57.0,Adelaide 1,198.0,185.0,R,R
2023-01-02,Hard,206173,106378,5.0,1.0,15.0,582.0,Adelaide 1,191.0,188.0,R,R
2023-01-02,Hard,106423,202195,21.0,20.0,93.0,34.0,Adelaide 1,193.0,201.0,R,R
2023-01-02,Hard,200624,104918,12.0,3.0,33.0,49.0,Adelaide 1,196.0,191.0,R,R
2023-01-02,Hard,105138,126094,8.0,15.0,21.0,8.0,Adelaide 1,183.0,188.0,R,R
2023-01-02,Hard,106415,208029,0.0,14.0,36.0,11.0,Adelaide 1,170.0,188.0,L,R
2023-01-02,Hard,111456,123755,4.0,2.0,63.0,67.0,Adelaide 1,178.0,191.0,R,R
2023-01-02,Hard,106218,104755,13.0,10.0,61.0,68.0,Adelaide 1,180.0,183.0,R,R
2023-01-02,Hard,200615,200000,11.0,7.0,120.0,6.0,Adelaide 1,196.0,193.0,R,R
2023-01-02,Hard,134868,126127,17.0,11.0,95.0,60.0,Pune,188.0,183.0,R,R
2023-01-02,Hard,134868,106234,11.0,3.0,95.0,59.0,Pune,188.0,185.0,R,R
2023-01-02,Hard,126127,122298,10.0,9.0,60.0,35.0,Pune,183.0,191.0,R,R
2023-01-02,Hard,134868,105227,,,95.0,17.0,Pune,188.0,198.0,R,R
2023-01-02,Hard,106234,124079,13.0,1.0,59.0,62.0,Pune,185.0,185.0,R,R
2023-01-02,Hard,126127,105936,7.0,6.0,60.0,54.0,Pune,183.0,185.0,R,R
2023-01-02,Hard,122298,109739,3.0,1.0,35.0,159.0,Pune,191.0,188.0,R,L
2023-01-02,Hard,105227,106148,16.0,3.0,17.0,74.0,Pune,198.0,183.0,R,R
2023-01-02,Hard,134868,106065,7.0,3.0,95.0,101.0,Pune,188.0,185.0,R,R
2023-01-02,Hard,124079,202104,0.0,5.0,62.0,43.0,Pune,185.0,170.0,R,R
2023-01-02,Hard,106234,126646,9.0,10.0,59.0,111.0,Pune,185.0,188.0,R,R
2023-01-02,Hard,105936,111581,9.0,4.0,54.0,113.0,Pune,185.0,188.0,R,R
2023-01-02,Hard,126127,200325,5.0,5.0,60.0,40.0,Pune,183.0,188.0,R,R
2023-01-02,Hard,109739,111513,11.0,6.0,159.0,70.0,Pune,188.0,188.0,L,R
2023-01-02,Hard,122298,207925,2.0,5.0,35.0,171.0,Pune,191.0,183.0,R,R
2023-01-02,Hard,106148,126523,0.0,4.0,74.0,72.0,Pune,183.0,183.0,R,R
2023-01-02,Hard,106065,105932,3.0,2.0,101.0,91.0,Pune,185.0,185.0,R,R
2023-01-02,Hard,134868,144719,10.0,2.0,95.0,58.0,Pune,188.0,183.0,R,R
2023-01-02,Hard,124079,106368,2.0,11.0,62.0,435.0,Pune,185.0,188.0,R,R
2023-01-02,Hard,126646,105430,14.0,2.0,111.0,103.0,Pune,188.0,175.0,R,R
2023-01-02,Hard,106234,104665,5.0,1.0,59.0,121.0,Pune,185.0,180.0,R,R
2023-01-02,Hard,105936,111576,8.0,3.0,54.0,503.0,Pune,185.0,178.0,R,R
2023-01-02,Hard,111581,211768,3.0,0.0,113.0,999.0,Pune,188.0,188.0,R,R
2023-01-02,Hard,126127,202358,2.0,2.0,60.0,115.0,Pune,183.0,175.0,R,R
2023-01-02,Hard,111513,144684,12.0,2.0,70.0,50.0,Pune,188.0,178.0,R,L
2023-01-02,Hard,109739,111200,12.0,5.0,159.0,127.0,Pune,188.0,185.0,L,R
2023-01-02,Hard,207925,124154,6.0,1.0,171.0,340.0,Pune,183.0,185.0,R,R
2023-01-09,Hard,104755,111815,3.0,8.0,67.0,12.0,Auckland,183.0,188.0,R,L
2023-01-09,Hard,104755,106005,,,67.0,65.0,Auckland,183.0,180.0,R,R
2023-01-09,Hard,111815,202385,3.0,4.0,12.0,48.0,Auckland,188.0,188.0,L,R
2023-01-09,Hard,106005,111513,5.0,8.0,65.0,70.0,Auckland,180.0,188.0,R,R
2023-01-09,Hard,104755,105676,6.0,8.0,67.0,53.0,Auckland,183.0,180.0,R,R
2023-01-09,Hard,202385,111460,2.0,13.0,48.0,64.0,Auckland,188.0,191.0,R,R
2023-01-09,Hard,111815,106218,5.0,6.0,12.0,60.0,Auckland,188.0,180.0,L,R
2023-01-09,Hard,111513,134770,18.0,10.0,70.0,3.0,Auckland,188.0,183.0,R,R
2023-01-09,Hard,106005,106296,4.0,7.0,65.0,88.0,Auckland,180.0,183.0,R,R
2023-01-09,Hard,104755,105311,7.0,1.0,67.0,82.0,Auckland,183.0,185.0,R,R
2023-01-09,Hard,105676,111153,7.0,12.0,53.0,123.0,Auckland,180.0,201.0,R,R
2023-01-09,Hard,111460,210097,10.0,8.0,64.0,92.0,Auckland,191.0,193.0,R,L
2023-01-09,Hard,202385,106043,0.0,0.0,48.0,25.0,Auckland,188.0,170.0,R,R
2023-01-09,Hard,106218,200670,3.0,7.0,60.0,66.0,Auckland,180.0,183.0,R,R
2023-01-09,Hard,111815,208103,4.0,6.0,12.0,78.0,Auckland,188.0,185.0,L,R
2023-01-09,Hard,111513,144719,7.0,4.0,70.0,62.0,Auckland,188.0,183.0,R,R
2023-01-09,Hard,106005,106398,7.0,1.0,65.0,59.0,Auckland,180.0,185.0,R,R
2023-01-09,Hard,106296,104545,10.0,28.0,88.0,42.0,Auckland,183.0,208.0,R,R
2023-01-09,Hard,104755,208485,5.0,8.0,67.0,575.0,Auckland,183.0,185.0,R,R
2023-01-09,Hard,111153,200005,6.0,9.0,123.0,108.0,Auckland,201.0,188.0,R,L
2023-01-09,Hard,105676,122330,1.0,6.0,53.0,36.0,Auckland,180.0,196.0,R,R
2023-01-09,Hard,210097,202104,9.0,2.0,92.0,41.0,Auckland,193.0,170.0,L,R
2023-01-09,Hard,111460,144684,20.0,5.0,64.0,54.0,Auckland,191.0,178.0,R,L
2023-01-09,Hard,202385,104926,6.0,4.0,48.0,57.0,Auckland,188.0,178.0,R,R
2023-01-09,Hard,200670,105173,7.0,7.0,66.0,43.0,Auckland,183.0,180.0,R,L
2023-01-09,Hard,106218,105948,3.0,3.0,60.0,76.0,Auckland,180.0,180.0,R,R
2023-01-09,Hard,208103,106329,5.0,7.0,78.0,69.0,Auckland,185.0,183.0,R,L
